home_team,away_team,home.conference,home.division,home.altitude,away.conference,away.division,away.altitude,home.games,home.wins,home.losses,home.ties,away.games,away.wins,away.losses,away.ties,home_points,away_points,winner_home
Illinois,Nebraska,4.0,4.0,294.958252,4.0,4.0,354.93188480000003,12.0,5.0,7.0,0.0,12.0,3.0,9.0,0.0,30.0,22.0,True
Fresno State,Connecticut,8.0,4.0,102.564064,0.0,3.0,6.515614986,12.0,9.0,3.0,0.0,12.0,1.0,11.0,0.0,45.0,0.0,True
UCLA,Hawai'i,9.0,2.0,245.17724610000002,8.0,4.0,10.26500511,12.0,8.0,4.0,0.0,13.0,6.0,7.0,0.0,44.0,10.0,True
New Mexico State,UTEP,6.0,0.0,1208.201294,5.0,4.0,1183.697876,12.0,2.0,10.0,0.0,12.0,7.0,5.0,0.0,3.0,30.0,False
San José State,Southern Utah,8.0,4.0,28.30708694,0.0,0.0,1763.97644,12.0,5.0,7.0,0.0,,,,,45.0,14.0,True
Jacksonville State,UAB,0.0,0.0,198.06790159999997,5.0,4.0,174.63821409999997,,,,,12.0,8.0,4.0,0.0,0.0,31.0,False
Ball State,Western Illinois,7.0,4.0,285.481781,0.0,0.0,192.8755646,12.0,6.0,6.0,0.0,,,,,31.0,21.0,True
Florida International,Long Island University,5.0,3.0,1.718581796,0.0,0.0,236.0,12.0,1.0,11.0,0.0,,,,,54.0,10.0,True
Coastal Carolina,The Citadel,11.0,0.0,13.74894905,0.0,0.0,4.137742996,13.0,11.0,2.0,0.0,,,,,52.0,14.0,True
Buffalo,Wagner,7.0,3.0,181.5759735,0.0,0.0,63.39014053,12.0,4.0,8.0,0.0,,,,,69.0,7.0,True
UCF,Boise State,0.0,3.0,20.94113731,8.0,6.0,823.2221069,12.0,8.0,4.0,0.0,12.0,7.0,5.0,0.0,36.0,31.0,True
NC State,South Florida,2.0,5.0,117.00899509999999,0.0,3.0,11.07972908,12.0,9.0,3.0,0.0,12.0,2.0,10.0,0.0,45.0,0.0,True
Appalachian State,East Carolina,11.0,0.0,991.3414307,0.0,3.0,19.0564537,14.0,10.0,4.0,0.0,12.0,7.0,5.0,0.0,33.0,19.0,True
Utah,Weber State,9.0,2.0,1411.543579,0.0,0.0,1451.553711,13.0,10.0,3.0,0.0,,,,,40.0,17.0,True
Tulsa,UC Davis,0.0,4.0,235.5928345,0.0,0.0,11.3825922,12.0,6.0,6.0,0.0,,,,,17.0,19.0,False
Tennessee,Bowling Green,10.0,3.0,271.9517212,7.0,3.0,205.90574650000002,12.0,7.0,5.0,0.0,12.0,4.0,8.0,0.0,38.0,6.0,True
Western Kentucky,UT Martin,5.0,3.0,154.4346619,0.0,0.0,124.68793490000002,14.0,9.0,5.0,0.0,,,,,59.0,21.0,True
New Mexico,Houston Baptist,8.0,6.0,1554.471924,0.0,0.0,188.23879240000002,12.0,3.0,9.0,0.0,,,,,27.0,17.0,True
Minnesota,Ohio State,4.0,4.0,254.39022830000002,4.0,3.0,216.67703250000002,12.0,8.0,4.0,0.0,12.0,10.0,2.0,0.0,31.0,45.0,False
UNLV,Eastern Washington,8.0,4.0,490.0622253,0.0,0.0,750.2774658,12.0,2.0,10.0,0.0,,,,,33.0,35.0,False
Arizona State,Southern Utah,9.0,2.0,360.15695189999997,0.0,0.0,1763.97644,12.0,8.0,4.0,0.0,,,,,41.0,14.0,True
Virginia Tech,North Carolina,2.0,7.0,632.2631226,2.0,7.0,127.75698090000002,12.0,6.0,6.0,0.0,12.0,6.0,6.0,0.0,17.0,10.0,True
Wake Forest,Old Dominion,2.0,5.0,283.548584,5.0,3.0,3.147987843,13.0,10.0,3.0,0.0,12.0,6.0,6.0,0.0,42.0,10.0,True
Eastern Michigan,St Francis (PA),7.0,4.0,241.24876400000002,0.0,0.0,188.23879240000002,12.0,7.0,5.0,0.0,,,,,35.0,15.0,True
