school,location.elevation,location.city,location.state
Abilene Christian,,,
Adams State,,,
Adrian,,,
Air Force,2024.875732,Colorado Springs,CO
Akron,321.2875061,Akron,OH
Alabama,70.05136108,Tuscaloosa,AL
Alabama A&M,,,
Alabama State,75.10210419,Montgomery,AL
Albany,70.1,Albany,NY
Albany State (GA),,,
Albion,,,
Albright,,,
Alcorn State,72.25324249,Lorman,MS
Alderson-Broaddus,,,
Alfred,,,
Alfred State College,,,
Allegheny,,,
Alma College,,,
American International,,,
Amherst College,,,
Anderson (IN),,,
Angelo State,,,
Anna Maria College,,,
Appalachian State,991.3414307,Boone,NC
Apprentice School,,,
Arizona,742.1530151,Tucson,AZ
Arizona Christian,,,
Arizona State,360.1569519,Tempe,AZ
Arkansas,403.7972412,Fayetteville,AR
Arkansas-Monticello,,,
Arkansas-Pine Bluff,67.71961975,Pine Bluff,AR
Arkansas State,89.52690887,Jonesboro,AR
Arkansas Tech,,,
Army,99.21277618,West Point,NY
Ashland,,,
Assumption,,,
Assumption College,,,
Auburn,201.1737976,Auburn,AL
Augsburg,,,
Augustana (IL),,,
Augustana (SD),,,
Aurora,,,
Austin College,,,
Austin Peay,142.8643188,Clarksville,TN
Ave Maria,,,
Averett,,,
Avila College,,,
Azusa Pacific,,,
Bacone College,,,
Baker University,,,
Baldwin-Wallace,,,
Ball State,285.481781,Muncie,IN
Bates College,,,
Baylor,117.0538101,Waco,TX
Becker College,,,
Beloit College,,,
Bemidji State,,,
Benedict College,,,
Benedictine College,,,
Benedictine (IL),,,
Bentley,,,
Berry College,,,
Bethany (KS),,,
Bethany (WV),,,
Bethel (MN),,,
Bethel (TN),,,
Bethune-Cookman,9.516305923,Daytona Beach,FL
Birmingham-Southern,,,
Blackburn,,,
Black Hills State,,,
Blinn College,,,
Blinn College,,,
Blinn College,,,
Blinn College,,,
Bloomsburg,,,
Bluefield College,,,
Bluffton,,,
Boise State,823.2221069,Boise,ID
Boston College,39.82634354,Chestnut Hill,MA
Bowdoin,,,
Bowling Green,205.9057465,Bowling Green,OH
Brevard College,,,
Bridgewater State,,,
Bridgewater (VA),,,
Brit Columbia,,,
Brockport State (NY),,,
Brown,,,
Bryant,124.471344,Smithfield,RI
Bucknell,151.194931,Lewisburg,PA
Buena Vista,,,
Buffalo,181.5759735,Amherst,NY
Buffalo State,,,
Butler,,,
Butler C.C.,,,
Butler C.C.,,,
Butler C.C.,,,
BYU,1412.097046,Provo,UT
California,125.3108063,Berkeley,CA
California (PA),,,
Cal Lutheran,,,
Cal Poly,154,Stevenson,MD
Campbell,,,
Capital,,,
Carleton,,,
Carnegie Mellon,,,
Carroll (WI),,,
Carson-Newman,,,
Carthage,,,
Case Western Reserve,,,
Castleton State College,,,
Catawba,,,
Catholic University,,,
Central,,,
Central Arkansas,94.25577545,Conway,AR
Central Connecticut,41.29866409,New Britain,CT
Central Methodist,,,
Central Michigan,240.9007721,Mount Pleasant,MI
Central Missouri State,,,
Central Oklahoma,,,
Central State,,,
Central Washington,,,
Centre,,,
Chadron State,,,
Chapman,,,
Charleston Southern,,,
Charleston (WV),,,
Charlotte,190.365509,Charlotte,NC
Chattanooga,200.1825104,Chattanooga,TN
Cheyney,,,
Chicago,,,
Christopher Newport,,,
Cincinnati,230.0660553,Cincinnati,OH
Cisco College,,,
City College of San Francisco,,,
Claremont,,,
Clarion,,,
Clark Atlanta,,,
Clemson,205.6452179,Clemson,SC
Coastal Carolina,13.74894905,Conway,SC
Coast Guard,,,
Coe,,,
Colby,,,
Colgate,337.1443787,Hamilton,NY
College of Charleston,,,
College of Faith,,,
College of Faith - Charlotte,,,
College of Idaho,,,
College of New Jersey,,,
College of the Canyons,,,
Colorado,1634.041138,Boulder,CO
Colorado College,,,
Colorado Mesa,,,
Colorado Mines,,,
Colorado State,1574.920898,Fort Collins,CO
Colorado State-Pueblo,,,
Columbia,,,
Concord,,,
Concordia (AL),,,
Concordia College (MI),,,
Concordia (IL),,,
Concordia (MN),,,
Concordia-St. Paul,,,
Concordia (WI),,,
Connecticut,6.515614986,East Hartford,CT
Cornell,,,
Cornell College (IA),,,
Crown College,,,
Culver-Stockton,,,
Cumberland,,,
Cumberland College,,,
Curry,,,
Dakota State,,,
Dakota Wesleyan,,,
Dartmouth,,,
Davidson,,,
Dayton,,,
Defiance,,,
Delaware,28.74350357,Newark,DE
Delaware State,,,
Delaware Valley,,,
Delta State,,,
Denison,,,
DePauw,,,
Dickinson,,,
Dickinson State,,,
Drake,,,
Dubuque,,,
Duke,103.0028152,Durham,NC
Duquesne,269.4302979,Pittsburgh,PA
Earlham,,,
East Carolina,19.0564537,Greenville,NC
East Central,,,
Eastern Illinois,212.9662933,Charleston,IL
Eastern Kentucky,298.1834717,Richmond,KY
Eastern Michigan,241.248764,Ypsilanti,MI
Eastern New Mexico,,,
Eastern Oregon,,,
Eastern Washington,750.2774658,Cheney,WA
East Stroudsburg,,,
East Tennessee State,,,
East Texas Baptist,,,
Edinboro,,,
Elizabeth City State,,,
Elmhurst,,,
Elon,204.2487793,Elon,NC
Emory & Henry,,,
Emporia State,,,
Endicott College,,,
Erie Community College,,,
Eureka College,,,
Evangel,,,
Fairmont State,,,
Faulkner,,,
Fayetteville State,,,
FDU-Florham,,,
Ferris State,,,
Ferrum,,,
Findlay,,,
Fitchburg State,,,
Florida,44.97250748,Gainesville,FL
Florida A&M,31.18483925,Tallahassee,FL
Florida Atlantic,3.613628864,Boca Raton,FL
Florida International,1.718581796,Miami,FL
Florida State,19.55942535,Tallahassee,FL
Florida Tech,,,
Fordham,,,
Fort Hays State,,,
Fort Lewis,,,
Fort Valley State,,,
Framingham State,,,
Franklin,,,
Franklin & Marshall,,,
Fresno State,102.564064,Fresno,CA
Frostburg State,,,
Furman,303.2829285,Greenville,SC
Gallaudet,,,
Gannon,,,
"Garden City C.C. ",,,
Gardner-Webb,253.207016,Boiling Springs,NC
Geneva College,,,
George Fox University,,,
George Mason,,,
Georgetown,,,
Georgia,186.1120758,Athens,GA
Georgia Southern,61.25376892,Statesboro,GA
Georgia State,303.1637268,Atlanta,GA
Georgia Tech,279.300415,Atlanta,GA
Gettysburg,,,
Glenville State,,,
Graceland University,,,
Grambling,94.58428955,Grambling,LA
Grand Valley State,,,
Greensboro,,,
Greenville,,,
Grinnell,,,
Grove City College,,,
Guilford,,,
Gustavus Adolphus,,,
Hamilton,,,
Hamline,,,
Hampden-Sydney,,,
Hampton,2.574624538,Hampton,VA
Hanover,,,
Harding,,,
Hardin-Simmons,,,
Hartwick,,,
Harvard,,,
Haskell Indian Nations,,,
Hawai'i,10.26500511,Honolulu,HI
Heidelberg,,,
Henderson State,,,
Hendrix College,,,
Hillsdale,,,
Hiram,,,
Hobart,,,
Holland College,,,
