year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2021,Air Force,Mountain West,Mountain,8.2,12,9,3,0,8,6,2,0,6,4,2,0,5,5,0,0
2021,Akron,Mid-American,East,1.9,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0
2021,Alabama,SEC,West,10,13,12,1,0,9,8,1,0,7,7,0,0,4,3,1,0
2021,Appalachian State,Sun Belt,,11.3,14,10,4,0,9,7,2,0,7,7,0,0,6,3,3,0
2021,Arizona,Pac-12,South,1.9,12,1,11,0,9,1,8,0,6,1,5,0,5,0,5,0
2021,Arizona State,Pac-12,South,9.2,12,8,4,0,9,6,3,0,7,6,1,0,5,2,3,0
2021,Arkansas,SEC,West,8.3,12,8,4,0,8,4,4,0,7,6,1,0,4,1,3,0
2021,Arkansas State,Sun Belt,,2.9,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0
2021,Army,FBS Independents,,9.1,12,8,4,0,0,0,0,0,7,5,2,0,4,2,2,0
2021,Auburn,SEC,West,6,12,6,6,0,8,3,5,0,7,4,3,0,5,2,3,0
2021,Ball State,Mid-American,West,4.2,12,6,6,0,8,4,4,0,6,3,3,0,6,3,3,0
2021,Baylor,Big 12,,9.2,13,11,2,0,10,8,2,0,7,7,0,0,5,3,2,0
2021,Boise State,Mountain West,Mountain,6.6,12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0
2021,Boston College,ACC,Atlantic,6.4,12,6,6,0,8,2,6,0,6,3,3,0,6,3,3,0
2021,Bowling Green,Mid-American,East,3,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
2021,Buffalo,Mid-American,East,4.4,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
2021,BYU,FBS Independents,,7.9,12,10,2,0,0,0,0,0,6,5,1,0,5,4,1,0
2021,California,Pac-12,North,6.1,12,5,7,0,9,4,5,0,6,4,2,0,6,1,5,0
2021,Central Michigan,Mid-American,West,7.4,12,8,4,0,8,6,2,0,6,5,1,0,6,3,3,0
2021,Charlotte,Conference USA,East,3.2,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2021,Cincinnati,American Athletic,East,10.9,13,13,0,0,9,9,0,0,7,7,0,0,6,6,0,0
2021,Clemson,ACC,Atlantic,7.7,12,9,3,0,8,6,2,0,6,6,0,0,5,3,2,0
2021,Coastal Carolina,Sun Belt,,9.5,13,11,2,0,8,6,2,0,7,6,1,0,5,4,1,0
2021,Colorado,Pac-12,South,3.2,12,4,8,0,9,3,6,0,6,4,2,0,5,0,5,0
